Logging to ./data/CartPole-v0_ppo/ppo_3567743922/
---------------------------------
| rollout/           |          |
|    ep_rew_mean          | 25.6        |
| time/                   |             |
|    fps                  | 127         |
|    iterations           | 10          |
|    time_elapsed         | 2           |
|    total_timesteps      | 320         |
| train/                  |             |
|    approx_kl            | 0.021106347 |
|    clip_fraction        | 0.0813      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.635      |
|    explained_variance   | -0.105      |
|    learning_rate        | 0.0003      |
|    loss                 | 3.01        |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0303     |
|    value_loss           | 7.43        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.9         |
|    ep_rew_mean          | 25.9         |
| time/                   |              |
|    fps                  | 131          |
|    iterations           | 11           |
|    time_elapsed         | 2            |
|    total_timesteps      | 352          |
| train/                  |              |
|    approx_kl            | 0.0010123476 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.641       |
|    explained_variance   | -1.01        |
|    learning_rate        | 0.0003       |
|    loss                 | 7.21         |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00173     |
|    value_loss           | 16.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 26.9         |
|    ep_rew_mean          | 26.9         |
| time/                   |              |
|    fps                  | 134          |
|    iterations           | 12           |
|    time_elapsed         | 2            |
|    total_timesteps      | 384          |
| train/                  |              |
|    approx_kl            | 0.0027738763 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.654       |
|    explained_variance   | -0.356       |
|    learning_rate        | 0.0003       |
|    loss                 | 4.14         |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00633     |
|    value_loss           | 9.61         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 26.1         |
|    ep_rew_mean          | 26.1         |
| time/                   |              |
|    fps                  | 137          |
|    iterations           | 13           |
|    time_elapsed         | 3            |
|    total_timesteps      | 416          |
| train/                  |              |
|    approx_kl            | 0.0014203386 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.668       |
|    explained_variance   | -0.142       |
|    learning_rate        | 0.0003       |
|    loss                 | 3.88         |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00488     |
|    value_loss           | 9.54         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 25.4          |
|    ep_rew_mean          | 25.4          |
| time/                   |               |
|    fps                  | 138           |
|    iterations           | 14            |
|    time_elapsed         | 3             |
|    total_timesteps      | 448           |
| train/                  |               |
|    approx_kl            | 0.00020780507 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.666        |
|    explained_variance   | -0.854        |
|    learning_rate        | 0.0003        |
|    loss                 | 5.17          |
|    n_updates            | 260           |
|    policy_gradient_loss | 4.19e-05      |
|    value_loss           | 12            |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25           |
|    ep_rew_mean          | 25           |
| time/                   |              |
|    fps                  | 141          |
|    iterations           | 15           |
|    time_elapsed         | 3            |
|    total_timesteps      | 480          |
| train/                  |              |
|    approx_kl            | 0.0055660987 |
|    clip_fraction        | 0.00781      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.658       |
|    explained_variance   | -0.478       |
|    learning_rate        | 0.0003       |
|    loss                 | 5.68         |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00975     |
|    value_loss           | 12.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 24.6        |
|    ep_rew_mean          | 24.6        |
| time/                   |             |
|    fps                  | 143         |
|    iterations           | 16          |
|    time_elapsed         | 3           |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.008565316 |
|    clip_fraction        | 0.0203      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.628      |
|    explained_variance   | -0.397      |
|    learning_rate        | 0.0003      |
|    loss                 | 5.33        |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.00946    |
|    value_loss           | 11.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 24.4        |
|    ep_rew_mean          | 24.4        |
| time/                   |             |
|    fps                  | 145         |
|    iterations           | 17          |
|    time_elapsed         | 3           |
|    total_timesteps      | 544         |
| train/                  |             |
|    approx_kl            | 0.016821679 |
|    clip_fraction        | 0.0609      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.666      |
|    explained_variance   | -0.199      |
|    learning_rate        | 0.0003      |
|    loss                 | 4.28        |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0261     |
|    value_loss           | 9.99        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.3         |
|    ep_rew_mean          | 23.3         |
| time/                   |              |
|    fps                  | 147          |
|    iterations           | 18           |
|    time_elapsed         | 3            |
|    total_timesteps      | 576          |
| train/                  |              |
|    approx_kl            | 0.0031835232 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.653       |
|    explained_variance   | 0.0423       |
|    learning_rate        | 0.0003       |
|    loss                 | 5.17         |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.000549    |
|    value_loss           | 11.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 22.4         |
|    ep_rew_mean          | 22.4         |
| time/                   |              |
|    fps                  | 149          |
|    iterations           | 19           |
|    time_elapsed         | 4            |
|    total_timesteps      | 608          |
| train/                  |              |
|    approx_kl            | 0.0051647415 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.643       |
|    explained_variance   | -0.413       |
|    learning_rate        | 0.0003       |
|    loss                 | 7.9          |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.00668     |
|    value_loss           | 17.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 21.9         |
|    ep_rew_mean          | 21.9         |
| time/                   |              |
|    fps                  | 150          |
|    iterations           | 20           |
|    time_elapsed         | 4            |
|    total_timesteps      | 640          |
| train/                  |              |
|    approx_kl            | 0.0005174186 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.662       |
|    explained_variance   | -0.0277      |
|    learning_rate        | 0.0003       |
|    loss                 | 5.59         |
|    n_updates            | 380          |
|    policy_gradient_loss | 0.000248     |
|    value_loss           | 12.8         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21          |
|    ep_rew_mean          | 21          |
| time/                   |             |
|    fps                  | 152         |
|    iterations           | 21          |
|    time_elapsed         | 4           |
|    total_timesteps      | 672         |
| train/                  |             |
|    approx_kl            | 0.017866783 |
|    clip_fraction        | 0.0797      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.642      |
|    explained_variance   | 0.239       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.89        |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0211     |
|    value_loss           | 7.03        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 20.8       |
|    ep_rew_mean          | 20.8       |
| time/                   |            |
|    fps                  | 153        |
|    iterations           | 22         |
|    time_elapsed         | 4          |
|    total_timesteps      | 704        |
| train/                  |            |
|    approx_kl            | 0.00847805 |
|    clip_fraction        | 0.0453     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.61      |
|    explained_variance   | 0.581      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.75       |
|    n_updates            | 420        |
|    policy_gradient_loss | -0.00379   |
|    value_loss           | 3.82       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20.7        |
|    ep_rew_mean          | 20.7        |
| time/                   |             |
|    fps                  | 155         |
|    iterations           | 23          |
|    time_elapsed         | 4           |
|    total_timesteps      | 736         |
| train/                  |             |
|    approx_kl            | 0.011114294 |
|    clip_fraction        | 0.00781     |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.639      |
|    explained_variance   | 0.641       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.28        |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.00871    |
|    value_loss           | 3.48        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21.2        |
|    ep_rew_mean          | 21.2        |
| time/                   |             |
|    fps                  | 156         |
|    iterations           | 24          |
|    time_elapsed         | 4           |
|    total_timesteps      | 768         |
| train/                  |             |
|    approx_kl            | 0.010829772 |
|    clip_fraction        | 0.0422      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.581      |
|    explained_variance   | 0.418       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.56        |
|    n_updates            | 460         |
|    policy_gradient_loss | -0.0418     |
|    value_loss           | 9.25        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 21.2       |
|    ep_rew_mean          | 21.2       |
| time/                   |            |
|    fps                  | 157        |
|    iterations           | 25         |
|    time_elapsed         | 5          |
|    total_timesteps      | 800        |
| train/                  |            |
|    approx_kl            | 0.01135525 |
|    clip_fraction        | 0.0375     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.602     |
|    explained_variance   | 0.353      |
|    learning_rate        | 0.0003     |
|    loss                 | 4.84       |
|    n_updates            | 480        |
|    policy_gradient_loss | -0.0175    |
|    value_loss           | 10.6       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 21.8         |
|    ep_rew_mean          | 21.8         |
| time/                   |              |
|    fps                  | 158          |
|    iterations           | 26           |
|    time_elapsed         | 5            |
|    total_timesteps      | 832          |
| train/                  |              |
|    approx_kl            | 0.0017189309 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.605       |
|    explained_variance   | 0.719        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.23         |
|    n_updates            | 500          |
|    policy_gradient_loss | -0.00534     |
|    value_loss           | 8.4          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 22.3         |
|    ep_rew_mean          | 22.3         |
| time/                   |              |
|    fps                  | 159          |
|    iterations           | 27           |
|    time_elapsed         | 5            |
|    total_timesteps      | 864          |
| train/                  |              |
|    approx_kl            | 0.0019164989 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.61        |
|    explained_variance   | 0.424        |
|    learning_rate        | 0.0003       |
|    loss                 | 4.27         |
|    n_updates            | 520          |
|    policy_gradient_loss | -0.00389     |
|    value_loss           | 9.61         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 22.3         |
|    ep_rew_mean          | 22.3         |
| time/                   |              |
|    fps                  | 160          |
|    iterations           | 28           |
|    time_elapsed         | 5            |
|    total_timesteps      | 896          |
| train/                  |              |
|    approx_kl            | 0.0055237412 |
|    clip_fraction        | 0.00469      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.618       |
|    explained_variance   | 0.349        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.96         |
|    n_updates            | 540          |
|    policy_gradient_loss | -0.00722     |
|    value_loss           | 8.95         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23.1        |
|    ep_rew_mean          | 23.1        |
| time/                   |             |
|    fps                  | 161         |
|    iterations           | 29          |
|    time_elapsed         | 5           |
|    total_timesteps      | 928         |
| train/                  |             |
|    approx_kl            | 0.009764487 |
|    clip_fraction        | 0.0156      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.613      |
|    explained_variance   | 0.547       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.37        |
|    n_updates            | 560         |
|    policy_gradient_loss | -0.0281     |
|    value_loss           | 6.9         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23.1        |
|    ep_rew_mean          | 23.1        |
| time/                   |             |
|    fps                  | 162         |
|    iterations           | 30          |
|    time_elapsed         | 5           |
|    total_timesteps      | 960         |
| train/                  |             |
|    approx_kl            | 0.009629718 |
|    clip_fraction        | 0.0359      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.61       |
|    explained_variance   | 0.424       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.32        |
|    n_updates            | 580         |
|    policy_gradient_loss | -0.0324     |
|    value_loss           | 12.2        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.1         |
|    ep_rew_mean          | 23.1         |
| time/                   |              |
|    fps                  | 163          |
|    iterations           | 31           |
|    time_elapsed         | 6            |
|    total_timesteps      | 992          |
| train/                  |              |
|    approx_kl            | 0.0003911825 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.618       |
|    explained_variance   | 0.212        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.21         |
|    n_updates            | 600          |
|    policy_gradient_loss | -0.00121     |
|    value_loss           | 6.26         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.1         |
|    ep_rew_mean          | 23.1         |
| time/                   |              |
|    fps                  | 163          |
|    iterations           | 32           |
|    time_elapsed         | 6            |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0025901878 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.631       |
|    explained_variance   | -0.393       |
|    learning_rate        | 0.0003       |
|    loss                 | 2.03         |
|    n_updates            | 620          |
|    policy_gradient_loss | -0.00659     |
|    value_loss           | 6.04         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23.1        |
|    ep_rew_mean          | 23.1        |
| time/                   |             |
|    fps                  | 164         |
|    iterations           | 33          |
|    time_elapsed         | 6           |
|    total_timesteps      | 1056        |
| train/                  |             |
|    approx_kl            | 0.025650965 |
|    clip_fraction        | 0.156       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.63       |
|    explained_variance   | -0.878      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.95        |
|    n_updates            | 640         |
|    policy_gradient_loss | -0.0421     |
|    value_loss           | 5.87        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23.1        |
|    ep_rew_mean          | 23.1        |
| time/                   |             |
|    fps                  | 165         |
|    iterations           | 34          |
|    time_elapsed         | 6           |
|    total_timesteps      | 1088        |
| train/                  |             |
|    approx_kl            | 0.019380156 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.544      |
|    explained_variance   | -0.273      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.88        |
|    n_updates            | 660         |
|    policy_gradient_loss | -0.0201     |
|    value_loss           | 5.3         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 27.4        |
|    ep_rew_mean          | 27.4        |
| time/                   |             |
|    fps                  | 166         |
|    iterations           | 35          |
|    time_elapsed         | 6           |
|    total_timesteps      | 1120        |
| train/                  |             |
|    approx_kl            | 0.011855594 |
|    clip_fraction        | 0.0344      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.611      |
|    explained_variance   | -0.252      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.83        |
|    n_updates            | 680         |
|    policy_gradient_loss | -0.0104     |
|    value_loss           | 4.99        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 27.4         |
|    ep_rew_mean          | 27.4         |
| time/                   |              |
|    fps                  | 167          |
|    iterations           | 36           |
|    time_elapsed         | 6            |
|    total_timesteps      | 1152         |
| train/                  |              |
|    approx_kl            | 0.0072286343 |
|    clip_fraction        | 0.0484       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.542       |
|    explained_variance   | -0.134       |
|    learning_rate        | 0.0003       |
|    loss                 | 15.8         |
|    n_updates            | 700          |
|    policy_gradient_loss | -0.0152      |
|    value_loss           | 32           |
------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 27.4      |
|    ep_rew_mean          | 27.4      |
| time/                   |           |
|    fps                  | 167       |
|    iterations           | 37        |
|    time_elapsed         | 7         |
|    total_timesteps      | 1184      |
| train/                  |           |
|    approx_kl            | 0.0358586 |
|    clip_fraction        | 0.227     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.616    |
|    explained_variance   | 0.647     |
|    learning_rate        | 0.0003    |
|    loss                 | 1.7       |
|    n_updates            | 720       |
|    policy_gradient_loss | -0.0337   |
|    value_loss           | 4.18      |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 27.4      |
|    ep_rew_mean          | 27.4      |
| time/                   |           |
|    fps                  | 168       |
|    iterations           | 38        |
|    time_elapsed         | 7         |
|    total_timesteps      | 1216      |
| train/                  |           |
|    approx_kl            | 0.1280505 |
|    clip_fraction        | 0.427     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.567    |
|    explained_variance   | 0.924     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.352     |
|    n_updates            | 740       |
|    policy_gradient_loss | -0.0527   |
|    value_loss           | 1.63      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 30.3        |
|    ep_rew_mean          | 30.3        |
| time/                   |             |
|    fps                  | 168         |
|    iterations           | 39          |
|    time_elapsed         | 7           |
|    total_timesteps      | 1248        |
| train/                  |             |
|    approx_kl            | 0.036869746 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.548      |
|    explained_variance   | 0.907       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.859       |
|    n_updates            | 760         |
|    policy_gradient_loss | -0.0367     |
|    value_loss           | 4.53        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 30.3        |
|    ep_rew_mean          | 30.3        |
| time/                   |             |
|    fps                  | 169         |
|    iterations           | 40          |
|    time_elapsed         | 7           |
|    total_timesteps      | 1280        |
| train/                  |             |
|    approx_kl            | 0.009440407 |
|    clip_fraction        | 0.0125      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.618      |
|    explained_variance   | 0.943       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.14        |
|    n_updates            | 780         |
|    policy_gradient_loss | -0.00284    |
|    value_loss           | 8.05        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 30.3         |
|    ep_rew_mean          | 30.3         |
| time/                   |              |
|    fps                  | 169          |
|    iterations           | 41           |
|    time_elapsed         | 7            |
|    total_timesteps      | 1312         |
| train/                  |              |
|    approx_kl            | 0.0031345394 |
|    clip_fraction        | 0.00156      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.515       |
|    explained_variance   | -0.0694      |
|    learning_rate        | 0.0003       |
|    loss                 | 15.4         |
|    n_updates            | 800          |
|    policy_gradient_loss | -0.00155     |
|    value_loss           | 31.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 30.4         |
|    ep_rew_mean          | 30.4         |
| time/                   |              |
|    fps                  | 170          |
|    iterations           | 42           |
|    time_elapsed         | 7            |
|    total_timesteps      | 1344         |
| train/                  |              |
|    approx_kl            | 0.0004539732 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.568       |
|    explained_variance   | -0.597       |
|    learning_rate        | 0.0003       |
|    loss                 | 2.8          |
|    n_updates            | 820          |
|    policy_gradient_loss | -0.000208    |
|    value_loss           | 6.31         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 30.2         |
|    ep_rew_mean          | 30.2         |
| time/                   |              |
|    fps                  | 171          |
|    iterations           | 43           |
|    time_elapsed         | 8            |
|    total_timesteps      | 1376         |
| train/                  |              |
|    approx_kl            | 0.0002801763 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.566       |
|    explained_variance   | -0.062       |
|    learning_rate        | 0.0003       |
|    loss                 | 28.1         |
|    n_updates            | 840          |
|    policy_gradient_loss | -0.00114     |
|    value_loss           | 57.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 30.2         |
|    ep_rew_mean          | 30.2         |
| time/                   |              |
|    fps                  | 171          |
|    iterations           | 44           |
|    time_elapsed         | 8            |
|    total_timesteps      | 1408         |
| train/                  |              |
|    approx_kl            | 0.0065394286 |
|    clip_fraction        | 0.00937      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.585       |
|    explained_variance   | -0.0788      |
|    learning_rate        | 0.0003       |
|    loss                 | 14.9         |
|    n_updates            | 860          |
|    policy_gradient_loss | -0.00546     |
|    value_loss           | 30.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 30.6         |
|    ep_rew_mean          | 30.6         |
| time/                   |              |
|    fps                  | 172          |
|    iterations           | 45           |
|    time_elapsed         | 8            |
|    total_timesteps      | 1440         |
| train/                  |              |
|    approx_kl            | 0.0017215898 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.545       |
|    explained_variance   | -0.565       |
|    learning_rate        | 0.0003       |
|    loss                 | 2.86         |
|    n_updates            | 880          |
|    policy_gradient_loss | 0.000503     |
|    value_loss           | 6.43         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 30.6          |
|    ep_rew_mean          | 30.6          |
| time/                   |               |
|    fps                  | 171           |
|    iterations           | 46            |
|    time_elapsed         | 8             |
|    total_timesteps      | 1472          |
| train/                  |               |
|    approx_kl            | 0.00053222757 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.583        |
|    explained_variance   | -0.0496       |
|    learning_rate        | 0.0003        |
|    loss                 | 8.31          |
|    n_updates            | 900           |
|    policy_gradient_loss | -0.00315      |
|    value_loss           | 17.4          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 31.4         |
|    ep_rew_mean          | 31.4         |
| time/                   |              |
|    fps                  | 171          |
|    iterations           | 47           |
|    time_elapsed         | 8            |
|    total_timesteps      | 1504         |
| train/                  |              |
|    approx_kl            | 0.0008479627 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.516       |
|    explained_variance   | -0.554       |
|    learning_rate        | 0.0003       |
|    loss                 | 1.95         |
|    n_updates            | 920          |
|    policy_gradient_loss | 0.000364     |
|    value_loss           | 5.04         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 31.7         |
|    ep_rew_mean          | 31.7         |
| time/                   |              |
|    fps                  | 172          |
|    iterations           | 48           |
